,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
Rpl23,1303.125993,1251.84322,1284.501213,1396.79281,1600.102147,1480.344048
Rps20,1325.549803,1201.116059,1259.068218,1270.96119,1415.847107,1400.897165
Anxa2,1321.080182,1047.673726,1226.842195,1312.266947,1604.264611,1398.81102
mt-Nd2,1309.901481,1737.6194,1312.041837,1534.614909,812.935217,1234.572581
Rps15a,1239.553499,1148.789074,1168.813195,1402.383292,1370.50467,1530.689234
Rpl36a,1255.331867,1211.600029,1033.229458,1436.254523,1473.560226,1505.001436
Rpl39,1251.567954,1264.270172,1125.654323,1334.742764,1403.880814,1418.689736
Myl6,1305.269659,1397.816651,1293.033984,1422.899558,1072.00709,1280.369854
Svs5,470.742079,8751.790794,958.608753,10.504116,1.77097,0.803724
Atp5b,1369.17868,1327.536732,1232.59737,1203.638668,1269.891212,1255.745096
Col1a1,1340.474522,1540.575631,1617.524356,1313.53809,1139.936748,788.958594
Ctsb,1188.41308,1144.266342,1219.010267,1205.740169,1499.784957,1309.559773
Mt2,725.221684,868.160187,828.905027,764.515203,2890.571184,1372.166012
Tuba1b,1251.304571,1292.377792,1233.714819,1230.513668,1037.229097,1179.758151
Ubb,1250.530659,1234.139522,1302.526253,1203.739709,1161.250245,1159.330864
Rpl5,1145.583921,1085.214319,1075.820661,1190.389909,1510.379335,1361.615977
S100a11,1179.131994,1143.938016,1289.24025,1351.033189,1207.26809,1138.759661
Ptms,1221.788157,1240.468568,1355.626966,1247.260957,925.67097,1057.656316
Psap,1156.494109,1165.440558,1495.499269,1261.321786,992.170539,1004.232124
Lyz2,1078.765496,1272.210566,2093.436203,1469.594873,511.050587,1031.734804
CAAA01147332.1,1080.037506,1108.286466,1319.026246,1220.905065,1263.448225,1114.587645
Bsg,1102.339255,953.905748,1043.731838,1059.704892,1885.362971,1286.316973
Mt1,652.869356,1021.281427,860.669857,686.329532,2762.238736,1191.725385
Pgk1,972.115132,744.822821,895.82151,928.488251,2076.834046,1432.760863
Rpl21,1133.034056,1044.197465,999.180309,1190.50085,1313.498123,1264.396943
S100a4,971.478185,840.931067,889.082019,1395.599676,1077.982074,1361.156282
Gnas,1133.559318,1063.228933,1117.233567,1095.71264,1197.736043,1037.465505
Rpl27a,1060.74181,1036.476502,997.603964,1034.407714,1216.348407,1232.579655
Pcbp2,981.709343,983.724906,950.62086,980.1086,1398.183744,1104.167385
Cfl1,1113.86368,1073.928659,1132.521347,1096.499318,1020.617647,1058.812783
Mif,851.936597,741.891937,846.268947,695.426021,1889.051256,1343.859027
Rpl14,910.163545,1138.163368,991.790084,937.072551,1171.836274,1282.972199
Cd63,1037.79643,986.841692,990.769558,1078.9817,1079.742569,1087.362063
Hspa5,935.991131,1392.067549,1110.393742,886.337908,881.464567,1107.535267
Eif5a,1049.690686,1006.27216,1063.824981,974.431017,924.423382,1054.784697
Pcolce,1087.889398,1172.522227,1180.852115,1137.649444,746.002494,756.339138
Pabpc1,892.543292,894.57467,870.802546,789.980738,1356.767356,1149.512721
Eef1b2,969.382753,944.061718,957.258086,1105.301752,1066.235791,1150.801818
Tmem176b,995.833865,1009.894092,962.87663,995.673093,1091.945536,956.814536
S100a10,832.4145,813.856443,799.984901,1075.869661,1112.145467,1067.328059
Serpinf1,1037.448756,1030.896298,1049.851027,978.573255,634.288791,646.702128
Plac8,827.537159,727.409781,761.040962,855.901108,1088.394787,1059.834666
Naca,896.388486,881.892406,825.398935,931.31389,1041.785094,1026.170183
Eif1,818.936672,817.176457,853.546516,851.732257,991.872737,1139.359077
Ybx1,925.784363,932.106386,860.262826,766.40862,970.824604,855.820311
Ifitm2,927.86198,956.78422,958.526323,902.664116,692.410252,870.879222
Tpi1,780.041232,636.622833,728.52516,776.900309,1438.13961,1005.483136
P4hb,871.44583,834.516521,979.120712,879.214502,910.026417,839.805078
Serpinh1,807.48937,896.402642,924.505755,790.662122,831.073141,1003.97669
H3f3a,912.39222,903.509937,828.304901,914.795342,798.061623,875.244259
mt-Atp8,875.929649,975.759023,867.983643,757.348052,918.895382,739.197389
Hsp90b1,774.668742,900.743073,848.641945,881.454942,832.520078,948.323886
Rpl34-ps1,843.11522,790.183877,660.950202,854.336217,996.268899,1030.574835
Calr,806.149549,986.131979,989.848356,878.379688,660.859472,836.297544
mt-Nd5,893.13524,1135.127806,794.837665,942.688247,561.429789,694.965739
Ppib,844.723713,928.005135,879.6166,949.59602,694.342654,765.231171
Eef1g,827.781506,742.130953,816.820505,837.065971,831.000898,971.661459
Gm49909,774.78291,866.293939,708.174587,798.309569,947.38941,909.663892
